customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
004a2b3e8b026284407c620f4f01f686,138,1,163.78,2,1,3,213,Need Attention
004df18653e9438571e9d294776a5c5c,91,1,50.29,3,1,1,311,Recent Customers
004ee20df425002ed78553e1f50caa3e,125,1,32.69,3,1,1,311,Recent Customers
004f39eb181d53fa796fe82ce7a0cbd5,115,1,98.97,3,1,2,312,Recent Customers
00502500a53243e07961383bf1a6fa82,195,1,71.92,1,1,2,112,Need Attention
0050ee32fbb93383fb0d9e3d8ee89a07,42,1,122.84,4,1,3,413,Potential Loyalists
005196c65bab2861e397cc85bc7664bf,229,1,1233.65,1,1,4,114,Need Attention
005460bea0518c7354f01adf10012184,145,1,74.41,2,1,2,212,Need Attention
00573ea7a2ac9dff51ac3d177cd6eaea,212,1,38.01,1,1,1,111,Need Attention
0057f8b7c332d630b992d6a8ca79748c,200,1,123.69,1,1,3,113,Need Attention
0058153a752ee674162564afb1191d25,17,1,93.89,4,1,2,412,Recent Customers
00581d55862aecc8cbc7d701a27bc285,158,1,575.08,2,1,4,214,Need Attention
005c36bfaa8710aaf61e4b1712ccd658,174,1,283.42,2,1,4,214,Need Attention
005e2fff255d3d69e6cfc8c4928d33a9,242,1,129.89,1,1,3,113,Need Attention
00618f4116647066768ca73893989605,215,1,129.32,1,1,3,113,Need Attention
0061937e85c708a41f5d5b24405d0f50,70,1,194.04,3,1,3,313,Potential Loyalists
00620f738107803e6c0f6818a7a3b7e3,94,1,141.74,3,1,3,313,Potential Loyalists
00624707c8556199de70cac1593e7088,75,1,298.62,3,1,4,314,Potential Loyalists
0062859a8f89e25c6b0e8dc905ccc59d,164,1,318.44,2,1,4,214,Need Attention
0063913c2f1878cc471de963dc0571c4,24,1,254.58,4,1,4,414,Potential Loyalists
0063bdf3bf91260f76973a4af6f9199e,90,1,97.23,3,1,2,312,Recent Customers
006431d77c665533ac99b501d8a6ab06,141,1,473.12,2,1,4,214,Need Attention
006496598c918064dc19eef95e5e47f8,193,1,76.65,1,1,2,112,Need Attention
00650b839d32a071b1025af8ca26dd13,44,1,367.11,4,1,4,414,Potential Loyalists
00652f7a6e012d58f58fefd69d1a1ea4,143,1,86.8,2,1,2,212,Need Attention
0065c96aca557c0919dd5cdee546f8b1,95,1,124.02,3,1,3,313,Potential Loyalists
00660e817a39486a37c26b071d0741f8,156,1,161.48,2,1,3,213,Need Attention
00674fe0f6a6f190bd022dbca99795dc,120,1,91.35,3,1,2,312,Recent Customers
006866a6f9ef10d3a85292859c4deae1,35,1,41.01,4,1,1,411,Recent Customers
0069f43bfc018147f03b7a0f64fa00bd,46,1,75.68,4,1,2,412,Recent Customers
006b5498d9494c061f8c2f80a6c2f343,85,1,128.27,3,1,3,313,Potential Loyalists
006d7cf1f4f5fb1c805d2d7cacc8049d,77,1,284.09,3,1,4,314,Potential Loyalists
006fffc5b0accd275de3e3a4b6d0832d,173,1,65.03,2,1,2,212,Need Attention
0070e3e36dad141bed98c6dd5b3d1216,77,1,128.53,3,1,3,313,Potential Loyalists
007182cdc3e8e2d3d4ce0b00b9004630,58,1,21.86,4,1,1,411,Recent Customers
0072357d0a3394d268c6abb9e30aaafe,244,1,90.05,1,1,2,112,Need Attention
00785e4d6fd1ab53e7de20c730c070f1,85,1,128.97,3,1,3,313,Potential Loyalists
0078867a1043bd408c6134cf5ca1bbf5,75,1,94.74,3,1,2,312,Recent Customers
00788705370da606e9f8390258b9e977,240,1,44.09,1,1,1,111,Need Attention
00791d8bb3acb245dc0b865656e18fff,13,1,256.8,4,1,4,414,Potential Loyalists
007a444502902587d7aa72af38cbd1de,118,1,83.7,3,1,2,312,Recent Customers
007b18ac9b8a627f259ea78aed981315,171,1,43.13,2,1,1,211,Need Attention
007c76c2ab6101f00798548775dfdbaf,240,1,281.26,1,1,4,114,Need Attention
007d1c8a4fe2a7d4233d5ad3ea74a29b,236,1,77.12,1,1,2,112,Need Attention
007da0ded5420c2ac9cdcdc758841cde,166,1,596.56,2,1,4,214,Need Attention
007dca6150a323ecb560d11f2a3615a2,184,1,65.0,2,1,2,212,Need Attention
007dd470bdcf9dc8ffcd44beb79dc18c,197,1,179.78,1,1,3,113,Need Attention
00838729460c2110a0bd330a4bb9b332,164,1,55.13,2,1,1,211,Need Attention
0086b541a59fa554e7953e2d3c285285,39,1,52.18,4,1,1,411,Recent Customers
008943f202ed451804dfc1c23248eeb0,37,1,116.79,4,1,3,413,Potential Loyalists
008d16b47540f172f75b765d5ea1eed0,210,1,150.87,1,1,3,113,Need Attention
008d7d751e72ae684c0d31bc988b36fb,158,1,157.77,2,1,3,213,Need Attention
008e75e0f20ba6d6cc41923596b83693,131,1,82.43,3,1,2,312,Recent Customers
00914220fb44a373f667e19ed450e8df,32,1,95.65,4,1,2,412,Recent Customers
0092ebfee8043dae610fab832e61acff,193,1,524.3,1,1,4,114,Need Attention
0093eadfb5536c158311672bdf418044,69,1,137.93,3,1,3,313,Potential Loyalists
00949af96107ff1f55bc0f09e913686d,156,1,189.56,2,1,3,213,Need Attention
00953228b409090c774d955f2ab881e5,11,1,118.35,4,1,3,413,Potential Loyalists
009556b29007b7233895402fac956591,44,1,139.15,4,1,3,413,Potential Loyalists
0095d34ddb16f0d0776fc9f2a341dfcd,233,1,257.3,1,1,4,114,Need Attention
0096dd625383caa8afe2c028018bf4ce,145,1,521.37,2,1,4,214,Need Attention
0097c5abeb126a90646370f4a1cf3d93,91,1,297.36,3,1,4,314,Potential Loyalists
00993c1bdbff4f24ca6b8124b4cf5a1f,42,1,43.29,4,1,1,411,Recent Customers
0099bfdae84652b1df38e27c0fc216e3,224,1,165.8,1,1,3,113,Need Attention
009aac1d726cf431e9cff8be1f7d9ca5,125,1,152.4,3,1,3,313,Potential Loyalists
009bd844996868ab5166ade7dd9ab471,202,1,135.58,1,1,3,113,Need Attention
009c825b4f96c0c03731ac38b6e1c6ea,99,1,297.08,3,1,4,314,Potential Loyalists
009c9d2be03f80df9ef29fade7f998f3,142,1,288.76,2,1,4,214,Need Attention
00a02bdfd1741b999de5e2ccfdb8cfc8,203,1,48.68,1,1,1,111,Need Attention
00a16acd591b4bb112f2e94c7d2f9936,83,1,47.29,3,1,1,311,Recent Customers
00a2277d94755da60c916bab098b9b49,170,1,36.22,2,1,1,211,Need Attention
00a39528c677a55852f57235f988b837,164,1,229.79,2,1,4,214,Need Attention
00a40841820d0d2a51c5fc110eba37ed,166,1,61.32,2,1,1,211,Need Attention
00a572d0c25a9ea5e283ea2da267ba8d,154,1,164.7,2,1,3,213,Need Attention
00a5ee1a809dde5ccdb5b8c58531c343,218,1,74.43,1,1,2,112,Need Attention
00a7f6b5d305216d76ab1accbfe123b9,167,1,24.84,2,1,1,211,Need Attention
00a7f9b60493b4b11601b42e5f31eac9,92,1,58.35,3,1,1,311,Recent Customers
00aa3aa0438ac8a9e8a9378171ccd055,21,1,34.35,4,1,1,411,Recent Customers
00abf30c1a93c7c8b509cb80a22e4dd8,48,1,188.39,4,1,3,413,Potential Loyalists
00acc750f0c2bda99b95c4043ff1e662,119,1,99.9,3,1,2,312,Recent Customers
00aee581138f207eb71f58811aae25d1,141,1,102.53,2,1,2,212,Need Attention
00af928c0a307dfdb37122943a1e6902,82,1,284.73,3,1,4,314,Potential Loyalists
00b16eaf1e6b6bd4eeb54f97fc31f172,39,1,430.67,4,1,4,414,Potential Loyalists
00b2b9682f5c2a1f7cf1312ce6a0ea9d,32,1,286.82,4,1,4,414,Potential Loyalists
00b2fdba41164ba7de5052652fb86231,43,1,75.11,4,1,2,412,Recent Customers
00b366712a38454d2e62c9d2509d0623,171,1,368.52,2,1,4,214,Need Attention
00b4054d851ec464f6fb745fab627439,107,1,411.33,3,1,4,314,Potential Loyalists
00b7c3aa68e7f0e83117105ee4964a49,51,1,68.43,4,1,2,412,Recent Customers
00b96a156e6827442e5ec7c620a39d24,135,1,55.22,2,1,1,211,Need Attention
00ba24d5e8869fd25950fd26c098ee20,111,1,162.28,3,1,3,313,Potential Loyalists
00ba72dac5dae2776b5bfcf799a956b2,23,1,33.34,4,1,1,411,Recent Customers
00bad631eaa8723983a6c7e2f910dfca,20,1,105.6,4,1,2,412,Recent Customers
00bae1a0d3566c3af0c3c67fd2204935,193,1,115.2,1,1,3,113,Need Attention
00bd25230af840df218e6902df6ac894,217,1,36.01,1,1,1,111,Need Attention
00bd2f03a3aeb727b9c7bf7c2a1c094b,54,1,72.08,4,1,2,412,Recent Customers
00bf0246fe43d0dac8842035f21f8a76,224,1,162.06,1,1,3,113,Need Attention
00bf225ae2b2d6a141e31acf971c4a03,173,1,42.38,2,1,1,211,Need Attention
00bf77539bad79ed21c55cdea4375985,193,1,42.0,1,1,1,111,Need Attention
00c1cef22f54b3d3935e1c145b0c6ec6,212,1,182.84,1,1,3,113,Need Attention
00c23397b535962f65c89900d6a9ab22,245,1,67.39,1,1,2,112,Need Attention
00c2781c163b9f057924ed8c45c724d4,217,1,1117.84,1,1,4,114,Need Attention
00c38945ab09a0f226419274da4675e4,240,1,78.9,1,1,2,112,Need Attention
00c5b008c1465e327578fdacf185ccfa,84,1,84.66,3,1,2,312,Recent Customers
00c634fb2feeb4e2767a916c2375c9b8,14,1,1318.06,4,1,4,414,Potential Loyalists
00c6436d2afd5923cba3f19f9542b140,164,1,222.92,2,1,4,214,Need Attention
00c7e84c0c77753093b456d787638eed,224,1,119.84,1,1,3,113,Need Attention
00c82b169fb6a103c5274dc731295a98,136,1,46.19,2,1,1,211,Need Attention
00c86cc609174f994caee1818b788e05,177,1,102.38,2,1,2,212,Need Attention
00c9ed767059efd304546d437c9d171d,222,1,153.09,1,1,3,113,Need Attention
00ca4dec2a491c4c1a9081a3c5a1e8b1,120,1,65.22,3,1,2,312,Recent Customers
00ca6e4277e535d41bda84d371310be2,75,1,747.1500000000001,3,1,4,314,Potential Loyalists
00ccce5462294b682e2a5b34bc37c3d5,238,1,133.49,1,1,3,113,Need Attention
00cd55d78c1db8aa5f78e95d363373e4,171,1,135.72,2,1,3,213,Need Attention
00cf7bb323cf933b841728576c4de744,137,1,181.82,2,1,3,213,Need Attention
00d1bd043022c327bc464ded6b731f4a,179,1,159.03,2,1,3,213,Need Attention
00d4c7cec24152e73f88312fdbf09ffa,193,1,67.3,1,1,2,112,Need Attention
00d59ed5b36bbeac2deb4e7256a39fb4,60,1,45.19,4,1,1,411,Recent Customers
00d7e038b53f4b3ed3036d2d016e51c4,156,1,74.22,2,1,2,212,Need Attention
00d9314fb3f147133d0dae548abab307,179,1,76.86,2,1,2,212,Need Attention
00da45766aa7d360508cf25434334a8d,175,1,179.04,2,1,3,213,Need Attention
00da48d824214ffba48ab43f5b1d29a0,127,1,436.14,3,1,4,314,Potential Loyalists
00daf19c19d0fa15a86284fa7293b5ac,85,1,151.89,3,1,3,313,Potential Loyalists
00e20d0af2000bc5415d945981b3bd31,125,1,40.13,3,1,1,311,Recent Customers
00e4dd8d5ecaa00de8c6671679b58045,62,1,53.34,4,1,1,411,Recent Customers
00e6ef8a68edd7a3d2221bcf18656b7e,67,1,34.23,4,1,1,411,Recent Customers
00e731383e6ee1e27962b8707c82d8cc,210,1,147.15,1,1,3,113,Need Attention
00e7c7983371f6e0c6ce890040d431db,216,1,402.16,1,1,4,114,Need Attention
00eb2bf26ade27447b6532561c6a402d,92,1,104.08,3,1,2,312,Recent Customers
00ed8dde25f27c50ed32e0c4f1f8e76e,110,1,149.45,3,1,3,313,Potential Loyalists
00ee00c99d468f838abf1d6d7044b2aa,157,1,22.38,2,1,1,211,Need Attention
00efb24cd00f8eda8e85e3c3e0f2eb66,141,1,133.63,2,1,3,213,Need Attention
00efd0bb67f3af4d73269668a6cc8b49,116,1,35.19,3,1,1,311,Recent Customers
00f394e6fc446865ac4097b6db69ef4a,34,1,1449.5,4,1,4,414,Potential Loyalists
00f4202fec304d8f984a33eddc630e0f,147,1,201.84,2,1,4,214,Need Attention
00f539ee95c97870a2a4f261a2d96ba4,160,1,188.97,2,1,3,213,Need Attention
00f625f67cffbda090bb7bd168821482,143,1,98.7,2,1,2,212,Need Attention
00f73459a4d3be97ff307dc869da0aa9,98,1,247.68,3,1,4,314,Potential Loyalists
00f8ac751ae484a82adb20b42ad1aca7,118,1,109.59,3,1,2,312,Recent Customers
00fb765118b6d3b18dfc763dc3729a5b,69,1,198.22,3,1,4,314,Potential Loyalists
00fd2c64e6e3f94a81541196fc536f4f,128,1,106.9,3,1,2,312,Recent Customers
00fd7dfb540f22f5fa85fe9ecfb82fd3,210,1,145.11,1,1,3,113,Need Attention
010099752e4ca60e61c8a4a669ea9fe5,187,1,86.02,2,1,2,212,Need Attention
01016b17e79a0a428384c6916b426aed,189,1,160.76,1,1,3,113,Need Attention
0101e1c05e39f58731e21081f3ea410a,178,1,157.51,2,1,3,213,Need Attention
0105f165f3be4b229fcca1cba2349186,186,1,48.08,2,1,1,211,Need Attention
010714eb89c36dd92fee08385cc1dd6b,46,1,438.88,4,1,4,414,Potential Loyalists
01077b7579fd4c86971c6598bd550ee5,232,1,45.48,1,1,1,111,Need Attention
0107c38d1ad737e7508cc65067b25d10,116,1,43.23,3,1,1,311,Recent Customers
0108bac6b3f1f9f0fb88a1f0c0763919,26,1,83.45,4,1,2,412,Recent Customers
01095519ab759274152540845a1d2004,230,1,2002.6799999999998,1,1,4,114,Need Attention
010be179fab38706ae5cf77170b038e3,180,1,1391.13,2,1,4,214,Need Attention
010c5ccfc9a9135b8c89e2d66f5fb8f5,11,1,67.36,4,1,2,412,Recent Customers
010d1bac7f6ca46ef1c6fd0c4034cffc,117,1,65.42,3,1,2,312,Recent Customers
010dad3dab8189cba58ae1ca11b8cc09,235,1,119.25,1,1,3,113,Need Attention
010ebb5ce5da9367a59959153f083968,45,1,32.43,4,1,1,411,Recent Customers
010f3c6e21051748f72f762b9a7cb85d,89,1,98.34,3,1,2,312,Recent Customers
0111b8c89dbd979f8d35037954eb6a39,169,1,134.8,2,1,3,213,Need Attention
01122215dd21ac872ae567ec4e351e01,143,1,99.95,2,1,2,212,Need Attention
01156d307fdee5870c27d63afb938bd9,56,1,49.45,4,1,1,411,Recent Customers
011671897080a38fa57f3c190a310d49,115,1,167.97,3,1,3,313,Potential Loyalists
0116b6f7b023ad7b078ead9dc8f68897,182,1,154.55,2,1,3,213,Need Attention
0117fc26c948641502349399aa649dc0,196,1,126.33,1,1,3,113,Need Attention
0117fcfe90f5c0df487c5eb4ae067aff,40,1,170.44,4,1,3,413,Potential Loyalists
01187871d33eda6ba14aea590bb50d0e,18,1,176.88,4,1,3,413,Potential Loyalists
011b97b83f521e755f03173c96baf57b,108,1,184.78,3,1,3,313,Potential Loyalists
011caa1d64812e93260454d6e311f330,17,1,142.82,4,1,3,413,Potential Loyalists
011d2f8468c1be17b9c493a916e31a56,209,1,93.3,1,1,2,112,Need Attention
011ec289931a2dddb4a0e40191748b3c,187,1,57.68,2,1,1,211,Need Attention
011f5f2d716eb919dd944494c0db328b,29,1,168.68,4,1,3,413,Potential Loyalists
0120f40c1cfb22b538c7f78c8b5265dd,110,1,82.33,3,1,2,312,Recent Customers
0120ff9de7b5aba7cd8676c093f189de,221,1,40.05,1,1,1,111,Need Attention
01214c5f31d06b6da030e5825b431446,15,1,60.42,4,1,1,411,Recent Customers
01231f8b1b36a9da85f695b48c2f18b2,187,1,28.09,2,1,1,211,Need Attention
0123eb191c6ac1d113dd16c4638cba8a,171,1,68.22,2,1,2,212,Need Attention
0124a56e33d9d3da6b8340d2153f60a5,129,1,87.02,3,1,2,312,Recent Customers
0125fdf9e257f064725f85d1d63085b4,182,1,48.22,2,1,1,211,Need Attention
0126adf5308223f7cba2e84f97ac0d9b,237,1,29.09,1,1,1,111,Need Attention
0126c89d5a7c2b7b2bda098668c7526d,166,1,96.08,2,1,2,212,Need Attention
0126e712caf48d6cf32ffbdce563d2c3,17,1,80.45,4,1,2,412,Recent Customers
0127d98d4a7e205081ddac271d6b8e52,239,1,127.92,1,1,3,113,Need Attention
01288d72df4b2a4fb61182da4113ceab,197,1,109.92,1,1,2,112,Need Attention
012890b678dffa039b23707633b2eff3,177,1,99.43,2,1,2,212,Need Attention
012938ae26ceaa758b735826636366f8,142,1,535.0,2,1,4,214,Need Attention
0129ed0b91663e92e982965f3a6245f6,41,1,244.0,4,1,4,414,Potential Loyalists
012b69962ffef2be728865fe6a90359c,210,1,392.94,1,1,4,114,Need Attention
012c207234cf4e33fd21cc9bbcb2d1a3,144,1,170.08,2,1,3,213,Need Attention
012e0c27bbc549e7c249ee9042d58f7b,119,1,232.88,3,1,4,314,Potential Loyalists
0130b37ed963c4a595792582025bdcb0,65,1,107.32,4,1,2,412,Recent Customers
0130ec6b73b4f7fb58e4a4a78774b47b,209,1,144.5,1,1,3,113,Need Attention
01311c3c93d566f9b8991cd06a0d33ee,221,1,84.17,1,1,2,112,Need Attention
01311fef2cb7553344ac33c95e196db1,222,1,197.65,1,1,4,114,Need Attention
0137aedb5fd652186dbf05e49d78db59,46,1,75.51,4,1,2,412,Recent Customers
0137bbd3e8c493cfa735b98ef18bd1c6,105,1,336.09,3,1,4,314,Potential Loyalists
0138300525351148ae5c0bfe11efe43c,39,1,78.35,4,1,2,412,Recent Customers
0138bea323fc76e6968c0fa28a35d9e8,67,1,71.04,4,1,2,412,Recent Customers
013b46f9a2576623a655fd9469b7c583,234,1,23.4,1,1,1,111,Need Attention
013e49bb711629177d848e409b7566c5,217,1,68.42,1,1,2,112,Need Attention
013e4fc1800b9973a92b450d18c4f658,131,1,105.77,3,1,2,312,Recent Customers
013e5c6a0f2d8fef75ebb90f05b0ca59,141,1,329.32,2,1,4,214,Need Attention
0140bb3a2e24b8dd7a341eaf707b440e,200,1,83.41,1,1,2,112,Need Attention
01414201d70bd508e1eee33ff67d2453,193,1,276.12,1,1,4,114,Need Attention
0142bd3182ef8b08ecc4182dfd4ef811,68,1,209.36,4,1,4,414,Potential Loyalists
0145ffd2fcca22ddeebbcd95f7ad890e,117,1,267.84000000000003,3,1,4,314,Potential Loyalists
014693f265c4f52b8c1aa9eb8cd197d5,126,1,379.35,3,1,4,314,Potential Loyalists
014734aef2673760779034c8f95ca598,182,1,103.37,2,1,2,212,Need Attention
0148732a691a6f017cca48bbffdb172f,117,1,195.55,3,1,3,313,Potential Loyalists
0148eb6c4d23d56432bc3431ee6a5bee,79,1,58.27,3,1,1,311,Recent Customers
0148f71e97a15ed3cf071ea28250eb87,108,1,98.44,3,1,2,312,Recent Customers
014b7917072f3fe8c9ca37d4043c31d1,8,1,25.79,4,1,1,411,Recent Customers
014cb897286d70935bfa3c8eac776b76,112,1,535.07,3,1,4,314,Potential Loyalists
014f3e3c0e2ca31a15e844bdf3a25cfb,31,1,189.19,4,1,3,413,Potential Loyalists
014f4ea4b3ed7aaf2db2f8acb6d96e75,163,1,240.58,2,1,4,214,Need Attention
01503d0b64036165c2f202b538de9308,191,1,680.4,1,1,4,114,Need Attention
015041e1136a20f44f9cf4bbf29df823,55,1,193.22,4,1,3,413,Potential Loyalists
01509d555b8b6775f5847912d8c52d46,131,1,57.69,3,1,1,311,Recent Customers
01514a0b29d64250fc301b3413aa0ba3,44,1,217.76,4,1,4,414,Potential Loyalists
01531516bcefc94ae2fdde494db9fa3b,153,1,37.38,2,1,1,211,Need Attention
0154fa29866c388925f1cb6a76f41368,231,1,85.21,1,1,2,112,Need Attention
0155478730861c69019d0a41d9bc98f6,147,1,478.68,2,1,4,214,Need Attention
0157d2d9039fc91ade6a389d733d8a16,117,1,56.77,3,1,1,311,Recent Customers
015c3378ca571c1468e2be925e4dd502,230,1,106.97,1,1,2,112,Need Attention
015c5e6d8c584992072dd7b69f2fad3e,105,1,61.14,3,1,1,311,Recent Customers
015d22bc2ece484d2ec7a18dca4bfd66,175,1,68.65,2,1,2,212,Need Attention
015e106d9f62b30e48b97bac868b48e6,71,1,86.71,3,1,2,312,Recent Customers
015f98a7155c15075a5f77a37a8205ed,68,1,60.42,4,1,1,411,Recent Customers
016199ad9f839e5d3e578fbdeb6f227b,21,1,85.7,4,1,2,412,Recent Customers
01621ab81b760e6e48e8eb3a300c77bf,87,1,948.5999999999999,3,1,4,314,Potential Loyalists
0162379b4069e08e04a6631bc3e9f4e7,171,1,84.92,2,1,2,212,Need Attention
01627a580ab45fa2f81561f3a7bb1d93,127,1,38.22,3,1,1,311,Recent Customers
0163303a840691e9f9378d1e41f4849a,58,1,112.24,4,1,3,413,Potential Loyalists
0165051ac7514aff1b132007d915622f,161,1,200.35,2,1,4,214,Need Attention
0165da25e09d5c73a6d3ba6443d202f3,224,1,96.22,1,1,2,112,Need Attention
0166c4ebd26a021fe864a0b91761f50f,114,1,109.75,3,1,2,312,Recent Customers
01678728396c1d107b1da8e70cd63423,138,1,55.31,2,1,1,211,Need Attention
016890b20bac6cd8155fb02cd3ec3e44,64,1,977.1,4,1,4,414,Potential Loyalists
016976e1a8808cdefd68c7080e3899fe,185,1,37.76,2,1,1,211,Need Attention
016b15d60fe523cbfb8bda340e0cd769,96,1,460.61,3,1,4,314,Potential Loyalists
016b9c55722fc080b0cbf76d663449af,31,1,134.36,4,1,3,413,Potential Loyalists
016c54a71587052826a1ce53c8c6b1d5,209,1,42.77,1,1,1,111,Need Attention
016c5c3fb572754f302fdac24aa9cfa4,92,1,143.9,3,1,3,313,Potential Loyalists
016c933a6a74ad49e6e1858462a7ae4d,142,1,83.1,2,1,2,212,Need Attention
016fb9a9ab3b0b9f1d9e7438236b3fba,103,1,130.65,3,1,3,313,Potential Loyalists
01709d66652d26124875777dda46cfac,39,1,85.81,4,1,2,412,Recent Customers
0172748409ef8a6fcba0660cda36f38c,240,1,319.58,1,1,4,114,Need Attention
01755c16c986d88fa552ba8d7da81876,39,1,70.85,4,1,2,412,Recent Customers
0176dd91cb1143804dd30b2f4968b23a,220,1,177.41,1,1,3,113,Need Attention
0178cbf093400335e3d8fd88851e6bf1,27,1,55.43,4,1,1,411,Recent Customers
0179f2f4c32e0b0c2a4cb0d57e7d5a26,116,1,7849.08,3,1,4,314,Potential Loyalists
